ReviewID,Platform,ProductName,Category,State,Rating,ReviewText,Sentiment
REV000001,Konga,Jump rope,Phones & Tablets,Kwara,1,This product is nothing like the picture. product is already broken. I warned you do not buy,N
REV000002,KONGA,Screen protector,Electronics,Katsina,5,This product is absolutely amazing. Thank you so much,GOOD
REV000003,Konga,Hand sanitizer,Electronics,Niger,5,I am very happy with this purchase. God bless the seller this thing work well,Good
REV000004,jumia nigeria,Electric fan,Health,Delta,4/5,God bless the seller this thing work well,👍
REV000005,Jumia,Earphones,Books & Stationery,Katsina,5,This product is absolutely amazing. God bless the seller this thing work well,positive
REV000006,jumia,Phone charger,Fashion,Oyo,3,This is not what I ordered. I don waste my money buy fake product,👎
REV000007,KONGA,Air fryer,Health,Niger,5,I swear this product na the best,positive
REV000008,konga,Yoga mat,Health,Sokoto,2,The quality is extremely poor. completely fake product. This seller is fraudulent,BAD
REV000009,konga ng,Blender,Electronics,Rivers,2,This product na pure rubbish walahi,Negative
REV000010,jiji nigeria,Rice cooker,Sports,Kano,4,I am very happy with this purchase. product works perfectly. Five stars all the way,👍
REV000011,Jiji,Cooking pot,Sports,Imo,5,Perfect condition arrived on time. I swear this product na the best,GOOD
REV000012,KONGA,Backpack,Fashion,Kano,2,I regret buying this product. I go report this matter the product na rubbish,negative
REV000013,Jumia,Ankara fabric,Sports,Lagos,1,This product is very disappointing. This seller na scammer abeg warn una,bad
REV000014,JIJI,Power bank,Books & Stationery,Kaduna,2,Abeg make Jumia check this seller well well,neg
REV000015,Jumia.com,Pressing iron,Electronics,Kano,5/5,I swear this product na the best,1
REV000016,jiji,Rice cooker,Books & Stationery,Kaduna,1,This product is very disappointing. customer service was unhelpful. This seller is fraudulent,0
REV000017,jumia nigeria,Electric kettle,Baby & Kids,Benue,5,This product is absolutely amazing. would definitely buy again. Best decision I made this month,POSITIVE
REV000018,konga ng,Hair dryer,Sports,Bauchi,2,This is not what I ordered. completely fake product. Requesting a refund immediately,bad
REV000019,Jumia,Ankara fabric,Books & Stationery,Kwara,2,Very dissatisfied with this item. colour is completely different. Very angry and disappointed,0
REV000020,JIJI,Jump rope,Health,Kwara,2,Zero stars if possible. Abeg avoid this seller e be thief    ,N
REV000021,jiji,Hair dryer,Computers,Sokoto,1,Very poor quality product. This product na pure rubbish walahi,Neg
REV000022,Jiji.ng,USB cable,Baby & Kids,Kaduna,4,Packaging was neat and delivery was fast. Seller dey try the product reach on time,good
REV000023,konga ng,Rice cooker,Computers,Kwara,4,Best thing I have ordered on this platform. price is very fair. Best decision I made this month,Positive
REV000024,jumia nigeria,Jump rope,Beauty,Oyo,1,I regret buying this product. This seller is fraudulent,Negative
REV000025,jiji nigeria,Running shoes,Books & Stationery,Enugu,4,I no regret buying this product at all,pos
REV000026,Jumia,Jeans,Computers,Rivers,1,Product stopped working after two days. This seller is fraudulent,negative
REV000027,JUMIA,Children toy,Beauty,Imo,5,Oga this thing na correct product,Positive
REV000028,JIJI,Yoga mat,Home & Kitchen,Anambra,2,Wahala product fake packaging torn inside damaged,NEGATIVE
REV000029,Jiji.ng,Bluetooth speaker,Books & Stationery,Oyo,3,<p>Complete waste of my hard earned money. I go report this matter the product na rubbish</p> !!!! *** @#$,Neg
REV000030,jumia,Electric kettle,Electronics,Delta,1/5,The quality is extremely poor. This seller na scammer abeg warn una,Neg
REV000031,jiji nigeria,Running shoes,Electronics,Abuja,5,Product is exactly as described. Oga this thing na correct product,Good
REV000032,Konga.com,Running shoes,Fashion,Katsina,5/5,This product is absolutely amazing. This product dey sweet walahi,POSITIVE
REV000033,Konga.com,Plate set,Books & Stationery,Delta,4,Packaging was neat and delivery was fast. price is very fair. Five stars all the way,GOOD
REV000034,jiji nigeria,Ankara fabric,Sports,Delta,5/5,Best thing I have ordered on this platform. God bless the seller,Good
REV000035,JIJI,Face mask,Baby & Kids,Enugu,2,Zero stars if possible. I dey vex the delivery delay and product no work,neg
REV000036,Jumia,Hand sanitizer,Home & Kitchen,Lagos,5/5,I love this product so much. Wahala free delivery fast product correct,positive
REV000037,jumia nigeria,Screen protector,Home & Kitchen,Lagos,2,Never buying from this seller again. This product na pure rubbish walahi,negative
REV000038,Jiji,Bag,Sports,Plateau,4,Ordered and received in perfect condition. This product fine well well no cap,Good
REV000039,Jumia.com,Gym bag,Sports,Delta,5,My madam happy when she see am na so I know say correct !!!! *** @#$,👍
REV000040,jiji,Men shirt,Electronics,Kaduna,1/5,Na so dem dey cheat people for this country,NEGATIVE
REV000041,konga ng,Thermometer,Health,Benue,1,I go report this matter the product na rubbish,bad
REV000042,jiji,Power bank,Phones & Tablets,Abuja,5,Wahala free delivery fast product correct,good
REV000043,Jumia.com,Ankara fabric,Computers,Kaduna,1,Very bad experience with this seller. Abeg make Jumia check this seller well well,N
REV000044,Konga,Gym bag,Computers,Oyo,5,Wahala free delivery fast product correct,Positive
REV000045,konga,Ankara fabric,Fashion,Rivers,2,Abeg make Jumia check this seller well well,Neg
REV000046,Jumia.com,Sneakers,Sports,Enugu,5,I no regret buying this product at all,GOOD
REV000047,jiji,Blender,Books & Stationery,Enugu,5,E reach my house quick quick I happy die,👍
REV000048,JUMIA,Men shirt,Electronics,Katsina,5,This product is absolutely amazing. Oga this thing na correct product,Pos
REV000049,jiji,Thermometer,Health,Kwara,4,Packaging was neat and delivery was fast. seller was very responsive. Five stars all the way,P
REV000050,JUMIA,Women dress,Health,Oyo,5,Excellent quality product. product works perfectly. I will definitely order again,positive
REV000051,Jumia,Pressing iron,Health,Anambra,5,Best thing I have ordered on this platform. highly recommend to everyone. I will definitely order again    ,P
